kind,original_name,opensim_name
body,Full Body,Full_Body
coordinate,root_tx,root_tx
coordinate,root_ty,root_ty
coordinate,root_tz,root_tz
coordinate,root_rx,root_rx
coordinate,root_ry,root_ry
coordinate,root_rz,root_rz
body,sacrum,sacrum
body,lumbar5,lumbar5
coordinate,flex_extension,flex_extension
coordinate,lat_bending,lat_bending
coordinate,axial_rotation,axial_rotation
wrap_object,back_cylinder_s|back_cylinder_s_IL_L1_r_1_sidesite,back_cylinder_s_back_cylinder_s_IL_L1_r_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_IL_L1_l_1_sidesite,back_cylinder_s_back_cylinder_s_IL_L1_l_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_IL_R5_r_1_sidesite,back_cylinder_s_back_cylinder_s_IL_R5_r_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_IL_R6_r_1_sidesite,back_cylinder_s_back_cylinder_s_IL_R6_r_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_IL_R5_l_1_sidesite,back_cylinder_s_back_cylinder_s_IL_R5_l_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_IL_R6_l_1_sidesite,back_cylinder_s_back_cylinder_s_IL_R6_l_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_r_1_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_r_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_r_2_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_r_2_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_r_4_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_r_4_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_l_1_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_l_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_l_2_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_l_2_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpT_R12_l_4_sidesite,back_cylinder_s_back_cylinder_s_LTpT_R12_l_4_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpL_L1_r_1_sidesite,back_cylinder_s_back_cylinder_s_LTpL_L1_r_1_sidesite
wrap_object,back_cylinder_s|back_cylinder_s_LTpL_L1_l_1_sidesite,back_cylinder_s_back_cylinder_s_LTpL_L1_l_1_sidesite
body,Abdomen,Abdomen
coordinate,Abs_t1,Abs_t1
coordinate,Abs_t2,Abs_t2
coordinate,Abs_r3,Abs_r3
body,lumbar4,lumbar4
coordinate,L4_L5_FE,L4_L5_FE
coordinate,L4_L5_LB,L4_L5_LB
coordinate,L4_L5_AR,L4_L5_AR
body,lumbar3,lumbar3
coordinate,L3_L4_FE,L3_L4_FE
coordinate,L3_L4_LB,L3_L4_LB
coordinate,L3_L4_AR,L3_L4_AR
body,lumbar2,lumbar2
coordinate,L2_L3_FE,L2_L3_FE
coordinate,L2_L3_LB,L2_L3_LB
coordinate,L2_L3_AR,L2_L3_AR
body,lumbar1,lumbar1
coordinate,L1_L2_FE,L1_L2_FE
coordinate,L1_L2_LB,L1_L2_LB
coordinate,L1_L2_AR,L1_L2_AR
body,torso,torso
wrap_object,Cylinder_abdomen|Abs_sidesite,Cylinder_abdomen_Abs_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L2_r_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L2_r_1_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L3_r_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L3_r_1_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L4_r_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L4_r_1_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L2_l_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L2_l_1_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L3_l_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L3_l_1_sidesite
wrap_object,back_cylinder_l|back_cylinder_l_IL_L4_l_1_sidesite,back_cylinder_l_back_cylinder_l_IL_L4_l_1_sidesite
wrap_object,Chest_r_ellipsoid|Chest_r_ellipsoid_LTpT_T1_r_1_sidesite,Chest_r_ellipsoid_Chest_r_ellipsoid_LTpT_T1_r_1_sidesite
wrap_object,Chest_r_ellipsoid|Chest_r_ellipsoid_LTpT_T2_r_1_sidesite,Chest_r_ellipsoid_Chest_r_ellipsoid_LTpT_T2_r_1_sidesite
wrap_object,Chest_r_ellipsoid|Chest_r_ellipsoid_LTpT_T3_r_2_sidesite,Chest_r_ellipsoid_Chest_r_ellipsoid_LTpT_T3_r_2_sidesite
wrap_object,Chest_r_ellipsoid|Chest_r_ellipsoid_LTpT_T4_r_2_sidesite,Chest_r_ellipsoid_Chest_r_ellipsoid_LTpT_T4_r_2_sidesite
wrap_object,Chest_r_ellipsoid|Chest_r_ellipsoid_LTpT_T5_r_2_sidesite,Chest_r_ellipsoid_Chest_r_ellipsoid_LTpT_T5_r_2_sidesite
wrap_object,Chest_l_ellipsoid|Chest_l_ellipsoid_LTpT_T1_l_1_sidesite,Chest_l_ellipsoid_Chest_l_ellipsoid_LTpT_T1_l_1_sidesite
wrap_object,Chest_l_ellipsoid|Chest_l_ellipsoid_LTpT_T2_l_1_sidesite,Chest_l_ellipsoid_Chest_l_ellipsoid_LTpT_T2_l_1_sidesite
wrap_object,Chest_l_ellipsoid|Chest_l_ellipsoid_LTpT_T3_l_2_sidesite,Chest_l_ellipsoid_Chest_l_ellipsoid_LTpT_T3_l_2_sidesite
wrap_object,Chest_l_ellipsoid|Chest_l_ellipsoid_LTpT_T4_l_2_sidesite,Chest_l_ellipsoid_Chest_l_ellipsoid_LTpT_T4_l_2_sidesite
wrap_object,Chest_l_ellipsoid|Chest_l_ellipsoid_LTpT_T5_l_2_sidesite,Chest_l_ellipsoid_Chest_l_ellipsoid_LTpT_T5_l_2_sidesite
body,head_attach,head_attach
body,neck,neck
body,head,head
body,bimanual_attachment,bimanual_attachment
body,root,root
body,thorax,thorax
wrap_object,thorax_ellipsoid_PECM2|thorax_ellipsoid_PECM2_3_sidesite,thorax_ellipsoid_PECM2_thorax_ellipsoid_PECM2_3_sidesite
wrap_object,thorax_ellipsoid_PECM3|thorax_ellipsoid_PECM3_3_sidesite,thorax_ellipsoid_PECM3_thorax_ellipsoid_PECM3_3_sidesite
wrap_object,thorax_ellipsoid_PECM2_left|thorax_ellipsoid_PECM2_3_sidesite_left,thorax_ellipsoid_PECM2_left_thorax_ellipsoid_PECM2_3_sidesite_left
wrap_object,thorax_ellipsoid_PECM3_left|thorax_ellipsoid_PECM3_3_sidesite_left,thorax_ellipsoid_PECM3_left_thorax_ellipsoid_PECM3_3_sidesite_left
body,cervical_spine,cervical_spine
body,clavicle_r,clavicle_r
coordinate,sternoclavicular_r2_r,sternoclavicular_r2_r
coordinate,sternoclavicular_r3_r,sternoclavicular_r3_r
body,clavphant_r,clavphant_r
coordinate,unrotscap_r3_r,unrotscap_r3_r
coordinate,unrotscap_r2_r,unrotscap_r2_r
body,scapula_r,scapula_r
coordinate,acromioclavicular_r2_r,acromioclavicular_r2_r
coordinate,acromioclavicular_r3_r,acromioclavicular_r3_r
coordinate,acromioclavicular_r1_r,acromioclavicular_r1_r
wrap_object,Deltoid2_ellipsoid_DELT2|Deltoid2_ellipsoid_DELT2_2_sidesite,Deltoid2_ellipsoid_DELT2_Deltoid2_ellipsoid_DELT2_2_sidesite
wrap_object,Delt3_torus|Delt3_torus_DELT3_1_sidesite,Delt3_torus_Delt3_torus_DELT3_1_sidesite
body,scapphant_r,scapphant_r
coordinate,unrothum_r1_r,unrothum_r1_r
coordinate,unrothum_r3_r,unrothum_r3_r
coordinate,unrothum_r2_r,unrothum_r2_r
body,humphant_r,humphant_r
coordinate,elv_angle_r,elv_angle_r
body,humphant1_r,humphant1_r
coordinate,shoulder_elv_r,shoulder_elv_r
coordinate,shoulder1_r2_r,shoulder1_r2_r
body,humerus_r,humerus_r
coordinate,shoulder_rot_r,shoulder_rot_r
wrap_object,LIGhh_s_ellipsoid_s_glenohum|LIGhh_s_ellipsoid_s_glenohum_1_sidesite,LIGhh_s_ellipsoid_s_glenohum_LIGhh_s_ellipsoid_s_glenohum_1_sidesite
wrap_object,LIGhh_mi_ellipsoid_m_glenohum|LIGhh_mi_ellipsoid_m_glenohum_1_sidesite,LIGhh_mi_ellipsoid_m_glenohum_LIGhh_mi_ellipsoid_m_glenohum_1_sidesite
wrap_object,LIGhh_mi_ellipsoid_i_glenohum|LIGhh_mi_ellipsoid_i_glenohum_1_sidesite,LIGhh_mi_ellipsoid_i_glenohum_LIGhh_mi_ellipsoid_i_glenohum_1_sidesite
wrap_object,LIGhh_s_ellipsoid_coracohum|LIGhh_s_ellipsoid_coracohum_1_sidesite,LIGhh_s_ellipsoid_coracohum_LIGhh_s_ellipsoid_coracohum_1_sidesite
wrap_object,DELT1hh_ellipsoid_DELT1|DELT1hh_ellipsoid_DELT1_2_sidesite,DELT1hh_ellipsoid_DELT1_DELT1hh_ellipsoid_DELT1_2_sidesite
wrap_object,delt2hum_cylinder|delt2hum_cylinder_DELT2_1_sidesite,delt2hum_cylinder_delt2hum_cylinder_DELT2_1_sidesite
wrap_object,delt3hum_ellipsoid_DELT3|delt3hum_ellipsoid_DELT3_2_sidesite,delt3hum_ellipsoid_DELT3_delt3hum_ellipsoid_DELT3_2_sidesite
